City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
119,Andenes,NO,69.3143,16.1194,33.78,64,75,29.93,broken clouds
120,Butaritari,KI,3.0707,172.7902,82.22,77,96,11.01,overcast clouds
121,Saint-Philippe,RE,-21.3585,55.7679,72.99,82,76,10.0,broken clouds
122,Bethel,US,41.3712,-73.414,40.82,72,20,0.0,few clouds
123,Key Largo,US,25.0865,-80.4473,71.98,73,5,8.79,clear sky
124,Port Lincoln,AU,-34.7333,135.8667,62.35,61,99,11.74,overcast clouds
125,Miandrivazo,MG,-19.5167,45.4667,77.61,72,100,3.2,overcast clouds
126,Boa Vista,BR,2.8197,-60.6733,80.58,78,75,17.27,light intensity shower rain
127,Meulaboh,ID,4.1363,96.1285,74.8,90,63,4.99,broken clouds
128,Gadsden,US,34.0143,-86.0066,58.35,67,1,4.61,clear sky
129,Maumere,ID,-8.6199,122.2111,83.66,71,99,0.4,overcast clouds
130,Dikson,RU,73.5069,80.5464,-6.65,96,100,14.67,overcast clouds
131,Saint George,US,37.1041,-113.5841,68.34,23,1,0.0,clear sky
132,Cidreira,BR,-30.1811,-50.2056,65.89,70,29,7.83,scattered clouds
133,Acapulco,MX,16.8634,-99.8901,82.22,78,1,4.61,clear sky
134,Diffa,NE,13.3154,12.6113,73.45,34,6,11.54,clear sky
135,Berbera,SO,10.4396,45.0143,75.69,51,62,5.59,broken clouds
136,Turtas,RU,58.9417,69.1325,36.45,78,100,14.81,overcast clouds
137,Karasjok,NO,69.4719,25.5112,28.51,88,100,20.96,overcast clouds
138,Lorengau,PG,-2.0226,147.2712,85.75,67,99,2.91,overcast clouds
139,Mouila,GA,-1.8685,11.0559,73.76,99,100,1.9,moderate rain
140,Nikolskoye,RU,59.7035,30.7861,21.09,98,68,3.58,broken clouds
141,Dingle,PH,10.9995,122.6711,77.31,93,100,10.33,overcast clouds
142,Sao Filipe,CV,14.8961,-24.4956,75.02,68,100,11.14,overcast clouds
143,Glace Bay,CA,46.1969,-59.957,32.79,90,61,5.01,broken clouds
144,Smithers,CA,54.7804,-127.1743,33.42,98,74,4.18,light snow
145,Kharan,PK,28.5833,65.4167,58.62,29,0,4.36,clear sky
146,Velky Senov,CZ,50.9908,14.3743,44.11,76,97,5.99,light rain
147,Castro,BR,-24.7911,-50.0119,66.34,81,16,7.74,few clouds
148,Souillac,MU,-20.5167,57.5167,74.35,79,42,10.22,scattered clouds
149,Aberdare,GB,51.7144,-3.4492,37.99,89,10,6.53,clear sky
150,Saint Anthony,US,45.0205,-93.218,52.14,71,1,1.01,clear sky
151,Marzuq,YE,14.4,46.4667,57.4,30,0,2.73,clear sky
152,Mahebourg,MU,-20.4081,57.7,74.25,77,25,11.99,scattered clouds
153,Provideniya,RU,64.3833,-173.3,-1.64,50,0,6.71,clear sky
154,Merauke,ID,-8.4667,140.3333,81.18,82,98,5.73,overcast clouds
155,Cape Town,ZA,-33.9258,18.4232,61.27,64,72,12.48,broken clouds
156,Katangli,RU,51.7102,143.2326,22.32,84,100,36.39,light snow
157,Narsaq,GL,60.9167,-46.05,32.49,99,100,19.73,snow
158,Cervo,ES,43.6702,-7.4101,49.96,85,100,18.92,light rain
159,Kavaratti,IN,10.5669,72.642,81.99,78,21,12.48,few clouds
160,Katsuura,JP,35.1333,140.3,54.19,41,0,10.22,clear sky
161,Broome,US,42.2506,-75.833,36.91,78,75,1.01,broken clouds
162,Atambua,ID,-9.1061,124.8925,81.43,66,100,1.72,overcast clouds
163,Palauig,PH,15.435,119.9045,79.84,63,70,4.56,broken clouds
164,Westport,US,41.1415,-73.3579,44.76,70,1,1.01,clear sky
165,Cayenne,GF,4.9333,-52.3333,79.09,86,90,4.0,moderate rain
166,Challapata,BO,-18.9,-66.7667,58.19,29,68,8.84,broken clouds
167,Abu Dhabi,AE,24.4667,54.3667,72.97,73,0,5.75,clear sky
168,Denpasar,ID,-8.65,115.2167,78.46,88,40,2.3,scattered clouds
169,Fortuna,US,40.5982,-124.1573,61.93,70,1,8.05,clear sky
