City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
235,Thornhill,GB,2021-11-29 23:45:58,55.2333,-3.7667,51.31,92,100,17.27
236,Haines Junction,CA,2021-11-29 23:45:59,60.7522,-137.5108,-5.85,77,100,1.14
237,Iqaluit,CA,2021-11-29 23:45:59,63.7506,-68.5145,11.93,79,90,17.27
238,Saint Anthony,US,2021-11-29 23:46:00,45.0205,-93.218,47.35,52,1,10.36
239,Zaysan,KZ,2021-11-29 23:46:00,47.4667,84.8667,11.98,82,27,1.3
240,Rio Grande,BR,2021-11-29 23:43:52,-32.035,-52.0986,68.85,73,97,23.69
241,Tambacounda,SN,2021-11-29 23:46:00,13.7539,-13.7586,78.85,29,0,4.61
242,Khatanga,RU,2021-11-29 23:46:01,71.9667,102.5,-31.52,100,97,2.37
243,Kota Belud,MY,2021-11-29 23:46:01,6.351,116.4305,76.86,74,95,4.74
244,Torbat-E Jam,IR,2021-11-29 23:46:02,35.244,60.6225,47.05,46,41,1.99
245,Norman Wells,CA,2021-11-29 23:46:02,65.282,-126.8329,-25.56,68,20,4.61
246,Faanui,PF,2021-11-29 23:46:03,-16.4833,-151.75,80.56,78,100,13.53
247,Itarema,BR,2021-11-29 23:46:04,-2.9248,-39.9167,80.71,78,57,14.03
248,Axim,GH,2021-11-29 23:46:04,4.8699,-2.2405,78.78,85,56,8.32
249,East London,ZA,2021-11-29 23:46:04,-33.0153,27.9116,66.99,86,53,1.99
250,Rudnichnyy,RU,2021-11-29 23:46:05,59.617,52.4703,32.22,99,100,8.08
251,Torbay,CA,2021-11-29 23:46:05,47.6666,-52.7314,43.27,91,40,10.36
252,Nhulunbuy,AU,2021-11-29 23:46:05,-12.2333,136.7667,90.21,66,40,8.05
253,Chiang Klang,TH,2021-11-29 23:46:06,19.2938,100.8617,60.13,78,18,2.33
254,Surt,LY,2021-11-29 23:46:06,31.2089,16.5887,60.6,33,0,20.47
255,Havre-Saint-Pierre,CA,2021-11-29 23:46:07,50.2334,-63.5986,30.79,86,90,9.22
